Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,1.0,0.0,
expert2,0.1,0.1,0.8,
expert3,0.1,0.0,0.9,extremes can have an affect
expert4,0.0,0.8,0.2,
expert5,0.2,0.6,0.2,
expert6,0.4,0.35,0.25,
expert7,0.5,0.15,0.35,
expert8,0.05,0.8,0.15,
