Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.5,0.0,0.5,
expert2,0.75,0.15,0.1,
expert3,1.0,0.0,0.0,
expert4,0.7,0.2,0.1,
expert5,0.6,0.2,0.2,
expert6,0.65,0.15,0.2,
expert7,0.5,0.05,0.45,
expert8,0.3333333333333333,0.3333333333333333,0.3333333333333333,
