Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,0.0,1.0,
expert2,0.5,0.25,0.25,
expert3,0.2,0.0,0.8,may influence decision of oxygen target
expert4,0.1,0.8,0.1,
expert5,0.2,0.6,0.2,
expert6,0.4,0.35,0.25,
expert7,0.25,0.5,0.25,
expert8,0.0,1.0,0.0,
