Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.5,0.0,0.5,
expert2,0.5,0.2,0.3,
expert3,0.1,0.0,0.9,
expert4,0.4,0.5,0.1,
expert5,0.3,0.3,0.4,
expert6,0.6,0.2,0.2,
expert7,0.6,0.1,0.3,
expert8,0.3,0.6,0.1,
