Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,1.0,0.0,
expert2,0.4,0.4,0.2,
expert3,0.75,0.0,0.25,
expert4,0.7,0.2,0.1,
expert5,0.33,0.33,0.34,
expert6,0.15,0.7,0.15,
expert7,0.65,0.15,0.2,
expert8,0.0,1.0,0.0,
