Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,1.0,0.0,
expert2,0.5,0.25,0.25,
expert3,0.95,0.0,0.05,COPD can influence life expectancy and therefore age
expert4,0.3,0.6,0.1,
expert5,0.05,0.9,0.05,No Causal Relationship
expert6,0.2,0.6,0.2,
expert7,0.25,0.5,0.25,
expert8,0.0,1.0,0.0,
