Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,0.0,1.0,
expert2,0.5,0.4,0.1,
expert3,0.0,1.0,0.0,spo2 is an estimate of sao2 not causal
expert4,0.5,0.2,0.3,
expert5,0.3,0.3,0.4,
expert6,0.7,0.1,0.2,
expert7,0.0,0.75,0.25,
expert8,0.0,1.0,0.0,
