Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,1.0,0.0,
expert2,0.6,0.3,0.1,
expert3,0.0,1.0,0.0,
expert4,0.4,0.5,0.1,
expert5,0.1,0.8,0.1,
expert6,0.05,0.85,0.1,
expert7,0.05,0.8,0.15,
expert8,0.0,1.0,0.0,
