Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,0.0,1.0,
expert2,0.6,0.25,0.15,
expert3,0.75,0.0,0.25,
expert4,0.6,0.3,0.1,
expert5,0.8,0.1,0.1,
expert6,0.6,0.2,0.2,
expert7,0.5,0.25,0.25,
expert8,1.0,0.0,0.0,
