Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,1.0,0.0,
expert2,0.5,0.3,0.2,
expert3,0.0,1.0,0.0,increases risk of post operative complications but not need for surgery
expert4,0.0,0.9,0.1,
expert5,0.7,0.2,0.1,
expert6,0.3,0.5,0.2,
expert7,0.15,0.6,0.25,
expert8,0.0,0.8,0.2,
