Sources,P(e),P(not e),P(50-50),Remarks
expert1,1.0,0.0,0.0,
expert2,0.9,0.1,0.0,
expert3,1.0,0.0,0.0,
expert4,0.1,0.8,0.1,
expert5,0.0,0.95,0.05,
expert6,0.05,0.9,0.05,
expert7,0.11111111111111113,0.7777777777777778,0.11111111111111113,
expert8,0.0,1.0,0.0,
