Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,0.0,1.0,
expert2,0.5,0.2,0.3,
expert3,0.4,0.0,0.6,can affect the level  oxygen needed
expert4,0.4,0.4,0.2,
expert5,0.8,0.1,0.1,
expert6,0.2,0.65,0.15,
expert7,0.4,0.2,0.4,
expert8,0.15,0.6,0.25,
