Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,0.8,0.2,
expert2,0.5,0.5,0.0,
expert3,0.75,0.1,0.15,
expert4,0.0,0.0,1.0,
expert5,0.15,0.8,0.05,
expert6,0.7,0.1,0.2,
expert7,0.2,0.4,0.4,
expert8,0.2,0.2,0.6,
