Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.8,0.0,0.2,
expert2,0.25,0.25,0.5,
expert3,0.55,0.3,0.15,age related changes to lung function
expert4,0.6,0.3,0.1,
expert5,0.2,0.55,0.25,
expert6,0.6,0.2,0.2,
expert7,0.2,0.5,0.3,
expert8,0.5,0.25,0.25,
