Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,0.0,1.0,
expert2,0.6,0.2,0.2,
expert3,0.0,1.0,0.0,
expert4,0.5,0.2,0.3,
expert5,0.3,0.3,0.4,
expert6,0.6,0.15,0.25,
expert7,0.75,0.0,0.25,
expert8,1.0,0.0,0.0,
