Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,0.0,1.0,
expert2,0.3,0.4,0.3,
expert3,0.1,0.0,0.9,the value does not influnce peak airway pressure. Whatever causes elevation in PCO2 will affect peak ariway pressure so very indirect
expert4,0.6,0.3,0.1,
expert5,0.05,0.9,0.05,
expert6,0.5,0.25,0.25,
expert7,0.2,0.5,0.3,
expert8,0.8,0.1,0.1,
