Sources,P(e),P(not e),P(50-50),Remarks
expert1,1.0,0.0,0.0,
expert2,0.4,0.4,0.2,
expert3,0.0,1.0,0.0,death does not affect the score but is predicted by it
expert4,0.0,0.8,0.2,
expert5,0.1,0.8,0.1,
expert6,0.05,0.9,0.05,
expert7,0.1,0.6,0.3,
expert8,0.0,1.0,0.0,
