Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.6,0.0,0.4,
expert2,0.75,0.2,0.05,
expert3,0.9,0.0,0.1,
expert4,0.8,0.0,0.2,
expert5,0.85,0.05,0.1,Risk of Ischemic heart disease increases with Age
expert6,0.7,0.1,0.2,
expert7,0.7,0.1,0.2,
expert8,0.8,0.1,0.1,
