Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,0.0,1.0,
expert2,0.4,0.4,0.2,
expert3,0.0,1.0,0.0,
expert4,0.1,0.8,0.1,
expert6,0.2,0.65,0.15,
expert7,0.05,0.9,0.05,
expert8,0.0,1.0,0.0,
