Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,0.8,0.2,
expert2,0.15,0.1,0.75,
expert3,0.95,0.0,0.05,
expert4,0.3,0.7,0.0,
expert5,0.05,0.9,0.05,
expert6,0.8,0.1,0.1,
expert7,0.25,0.5,0.25,
expert8,0.0,1.0,0.0,
