Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.9,0.0,0.1,
expert2,0.7,0.2,0.1,
expert3,0.0,1.0,0.0,correlated but not causal. Increasing one increases other.  Spo2 estimates pao2
expert4,0.8,0.1,0.1,
expert5,0.9,0.05,0.05,
expert6,0.65,0.15,0.2,
expert7,0.75,0.1,0.15,
expert8,1.0,0.0,0.0,
