Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.8,0.0,0.2,
expert2,0.7,0.1,0.2,
expert3,0.5,0.0,0.5,severity of trauma is reflected in sofa
expert4,0.6,0.3,0.1,
expert5,0.6,0.2,0.2,
expert6,0.65,0.15,0.2,
expert7,0.3,0.3,0.4,
expert8,0.7,0.1,0.2,
