Sources,P(e),P(not e),P(50-50),Remarks
expert1,1.0,0.0,0.0,
expert2,0.6,0.3,0.1,
expert4,0.0,0.9,0.1,
expert5,0.1,0.8,0.1,
expert6,0.1,0.75,0.15,
expert7,0.0,1.0,0.0,
expert8,0.0,1.0,0.0,
