Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.5,0.0,0.5,
expert2,0.6,0.2,0.2,
expert3,0.5,0.0,0.5,depends on the type of trauma
expert4,0.5,0.4,0.1,
expert5,0.5,0.2,0.3,
expert6,0.5,0.25,0.25,
expert7,0.0,0.6,0.4,
expert8,0.2,0.7,0.1,
