Sources,P(e),P(not e),P(50-50),Remarks
expert1,0.0,1.0,0.0,
expert2,0.3,0.3,0.4,
expert3,0.1,0.0,0.9,may influence the future decision to smoke
expert4,0.0,0.9,0.1,
expert5,0.1,0.8,0.1,
expert6,0.3,0.5,0.2,
expert7,0.0,0.85,0.15,
expert8,0.1,0.8,0.1,
