Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.08750049999912501,0.64999952500085,0.262499975000025,0.08750049999912501,0.35000047499915,0.2187504874991375,
DST,8.69382637965132e-15,0.9999999999999913,1.7046614106217625e-16,8.69382637965132e-15,8.864292520713496e-15,8.779059450182407e-15,
Yager,2.489483451536453e-08,0.9982426412261559,0.001757333879010011,2.489483451536453e-08,0.0017573587738445265,0.0008786918343395209,
Murphy,0.0004213990179617314,0.9995317207233014,4.688025873684532e-05,0.0004213990179617314,0.00046827927669857675,0.0004448391473301541,
Dubois-Prade,2.489483451536453e-08,0.9982426412261559,0.001757333879010011,2.489483451536453e-08,0.0017573587738445265,0.0008786918343395209,
PCR5,1.522745997384641e-06,0.9999984772540027,7.499947500232499e-17,1.522745997384641e-06,1.5227459974596405e-06,1.5227459974221408e-06,
