Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.025000624998875003,0.8499988875021125,0.1250004874990125,0.025000624998875003,0.1500011124978875,0.08750086874838126,
DST,1.7482409602420445e-26,1.0000000000000009,2.4622862419452143e-28,1.7482409602420445e-26,1.7728638226614965e-26,1.7605523914517705e-26,
Yager,2.501104470818039e-09,0.9999989425011016,1.0549977946298805e-06,2.501104470818039e-09,1.0574988991006986e-06,5.300000017857583e-07,
Murphy,2.4085996667973085e-07,0.9999996861507916,7.298924157448554e-08,2.4085996667973085e-07,3.138492082542164e-07,2.773545874669736e-07,
Dubois-Prade,2.501104470818039e-09,0.9999989425011016,1.0549977946298805e-06,2.501104470818039e-09,1.0574988991006986e-06,5.300000017857583e-07,
PCR5,6.2020111399674e-11,0.9999999999379798,1.999982000097998e-28,6.2020111399674e-11,6.2020111399674e-11,6.2020111399674e-11,
