Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.1625002499995,0.5749998750002501,0.26249987500025,0.1625002499995,0.42500012499975004,0.293750187499625,
DST,1.786277750393904e-08,0.9999999820920027,4.522217619229685e-11,1.786277750393904e-08,1.7907999680131336e-08,1.788538859203519e-08,
Yager,0.10564252217122798,0.6629386877838133,0.23141879004495952,0.10564252217122798,0.3370613122161875,0.22135191719370773,
Murphy,0.00428620023587701,0.9956210549051744,9.274485894968119e-05,0.00428620023587701,0.004378945094826691,0.004332572665351851,
Dubois-Prade,0.10564252217122798,0.6629386877838133,0.23141879004495952,0.10564252217122798,0.3370613122161875,0.22135191719370773,
PCR5,0.08908621101928833,0.9109137889707116,9.999960000120002e-12,0.08908621101928833,0.08908621102928829,0.08908621102428832,
