Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.6062498375001626,0.14375024999975003,0.24999991250008752,0.6062498375001626,0.8562497500002502,0.7312497937502064,
DST,0.9986944769271149,0.001281840280426063,2.3682792458484407e-05,0.9986944769271149,0.9987181597195733,0.9987063183233441,
Yager,0.7488290219501621,0.06103832630987906,0.19013265173995872,0.7488290219501621,0.9389616736901208,0.8438953478201414,
Murphy,0.99800419728041,0.00194309545288156,5.270726671151379e-05,0.99800419728041,0.9980569045471215,0.9980305509137658,
Dubois-Prade,0.7488290219501621,0.06103832630987906,0.19013265173995872,0.7488290219501621,0.9389616736901208,0.8438953478201414,
PCR5,0.9499952975111444,0.04999830250165556,6.399987200019201e-06,0.9499952975111444,0.9500016974983444,0.9499984975047444,
