Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.381250274999475,0.3687498875002375,0.24999983750028748,0.381250274999475,0.6312501124997625,0.5062501937496188,
DST,2.4659346349242914e-05,0.9999753370479416,3.6056550752315285e-09,2.4659346349242914e-05,2.4662952004318146e-05,2.466114917678053e-05,
Yager,1.0814620547875957e-06,0.6580825536702923,0.34191636486765287,1.0814620547875957e-06,0.34191744632970766,0.17095926389588123,
Murphy,0.5397670595697049,0.45990607020750446,0.00032687022279091657,0.5397670595697049,0.5400939297924958,0.5399304946811004,
Dubois-Prade,1.0814620547875957e-06,0.6580825536702923,0.34191636486765287,1.0814620547875957e-06,0.34191744632970766,0.17095926389588123,
PCR5,0.23632419709686553,0.7636758028956344,7.499955000172498e-12,0.23632419709686553,0.23632419710436547,0.2363241971006155,
