Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.4687499062500937,0.23125012499987502,0.2999999687500312,0.4687499062500937,0.7687498750001249,0.6187498906251093,
DST,0.9645388702945136,0.03546112789257621,1.8996919835596537e-09,0.9645388702945136,0.9645388721942055,0.9645388712443596,
Yager,0.9535233776283212,3.1635039007321656e-07,0.04647630602128887,0.9535233776283212,0.99999968364961,0.9767615306389656,
Murphy,0.9505333267757563,0.04895512071174021,0.0005115525125007485,0.9505333267757563,0.9510448792882571,0.9507891030320067,
Dubois-Prade,0.9535233776283212,3.1635039007321656e-07,0.04647630602128887,0.9535233776283212,0.99999968364961,0.9767615306389656,
PCR5,0.9506110689753343,0.049388931024664164,1.4999895000464992e-15,0.9506110689753343,0.9506110689753359,0.9506110689753351,
