Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.6062497812503438,0.137500374999375,0.25624984375028126,0.6062497812503438,0.862499625000625,0.7343747031254844,
DST,0.9999999887124877,1.1221374256762737e-08,6.613743312047935e-11,0.9999999887124877,0.9999999887786252,0.9999999887455565,
Yager,0.9197612839149065,4.2329923455772695e-07,0.08023829278585898,0.9197612839149065,0.9999995767007654,0.959880430307836,
Murphy,0.9981167721673005,0.00182263164899705,6.059618370288708e-05,0.9981167721673005,0.9981773683510035,0.998147070259152,
Dubois-Prade,0.9197612839149065,4.2329923455772695e-07,0.08023829278585898,0.9197612839149065,0.9999995767007654,0.959880430307836,
PCR5,0.9940629400792239,0.005937059902026197,1.8749906250318748e-11,0.9940629400792239,0.9940629400979738,0.9940629400885989,
