Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.25625021249953756,0.5187496687504562,0.22500011875000625,0.25625021249953756,0.4812503312495438,0.3687502718745407,
DST,4.9536356675725935e-08,0.9999999504636428,8.427856308132836e-21,4.9536356675725935e-08,4.9536356675734366e-08,4.953635667573015e-08,
Yager,2.3302873414763215e-07,0.9719337101611865,0.028066056810079707,2.3302873414763215e-07,0.028066289838813856,0.014033261433774001,
Murphy,0.029747180457788267,0.9701847532561155,6.806628609662856e-05,0.029747180457788267,0.029815246743884895,0.029781213600836583,
Dubois-Prade,2.3302873414763215e-07,0.9719337101611865,0.028066056810079707,2.3302873414763215e-07,0.028066289838813856,0.014033261433774001,
PCR5,0.010936813521086199,0.9890631864789138,3.0624785625918737e-22,0.010936813521086199,0.010936813521086199,0.010936813521086199,
