Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.5812499062499689,0.1437502374996375,0.27499985625039375,0.5812499062499689,0.8562497625003627,0.7187498343751657,
DST,0.9995042064709958,0.0004957934188304392,1.1017439335538781e-10,0.9995042064709958,0.9995042065811702,0.999504206526083,
Yager,0.6180254713234505,0.11031551999853505,0.2716590086780148,0.6180254713234505,0.8896844800014654,0.753854975662458,
Murphy,0.9967381358705301,0.0031490181051193854,0.00011284602435244088,0.9967381358705301,0.9968509818948825,0.9967945588827063,
Dubois-Prade,0.6180254713234505,0.11031551999853505,0.2716590086780148,0.6180254713234505,0.8896844800014654,0.753854975662458,
PCR5,0.902080438190431,0.09791956177956909,2.9999880000329995e-11,0.902080438190431,0.9020804382204309,0.9020804382054309,
