Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.37250009374965626,0.45999956250093754,0.16750034374940623,0.37250009374965626,0.5400004374990625,0.4562502656243594,
DST,4.05330900566662e-11,0.9999999999594725,7.611879403003892e-20,4.05330900566662e-11,4.0533090132785e-11,4.05330900947256e-11,
Yager,1.2717134684198986e-06,0.5436329911925086,0.45636573709402317,1.2717134684198986e-06,0.4563670088074916,0.22818414026048,
Murphy,0.23121305465502606,0.7687671290572681,1.9816287708608515e-05,0.23121305465502606,0.23123287094273468,0.23122296279888035,
Dubois-Prade,1.2717134684198986e-06,0.5436329911925086,0.45636573709402317,1.2717134684198986e-06,0.4563670088074916,0.22818414026048,
PCR5,0.22438921866041628,0.7756107813395836,7.649954100175947e-22,0.22438921866041628,0.22438921866041628,0.22438921866041628,
