Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.7874996500006001,0.10000024999962501,0.112500099999775,0.7874996500006001,0.8999997500003751,0.8437497000004875,
DST,0.9999999998006466,1.984050208207597e-10,9.493015504982377e-13,0.9999999998006466,0.9999999998015959,0.9999999998011212,
Yager,0.8570432327569089,0.02162530580404685,0.12133146143904462,0.8570432327569089,0.9783746941959535,0.9177089634764312,
Murphy,0.9999903409610339,9.599434338127355e-06,5.96046289104683e-08,0.9999903409610339,0.9999904005656628,0.9999903707633484,
Dubois-Prade,0.8570432327569089,0.02162530580404685,0.12133146143904462,0.8570432327569089,0.9783746941959535,0.9177089634764312,
PCR5,0.9849364515191016,0.015063548480498486,3.9999880000280004e-13,0.9849364515191016,0.9849364515195016,0.9849364515193015,
