Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.45694431944469444,0.3152780277772778,0.2277776527780278,0.45694431944469444,0.6847219722227222,0.5708331458337084,
DST,0.9999970523710757,2.947398098767039e-06,2.308604332373328e-10,0.9999970523710757,0.9999970526019362,0.9999970524865059,
Yager,0.5532112204919812,0.16801779894580732,0.27877098056221195,0.5532112204919812,0.8319822010541932,0.6925967107730873,
Murphy,0.8646262872391793,0.13524403414720118,0.00012967861362248154,0.8646262872391793,0.8647559658528018,0.8646911265459906,
Dubois-Prade,0.5532112204919812,0.16801779894580732,0.27877098056221195,0.5532112204919812,0.8319822010541932,0.6925967107730873,
PCR5,0.7218475137806714,0.2781524862165508,2.777766666699999e-12,0.7218475137806714,0.7218475137834491,0.7218475137820602,
