Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.100000499999125,0.7499991375016125,0.1500003624992625,0.100000499999125,0.2500008624983875,0.17500068124875623,
DST,1.7605541520041635e-20,1.0000000000000018,1.2311443521157296e-22,1.7605541520041635e-20,1.772865595525321e-20,1.7667098737647422e-20,
Yager,0.001500643683832338,0.39949977810539483,0.5989995782107734,0.001500643683832338,0.6005002218946057,0.30100043278921906,
Murphy,3.485157439523954e-05,0.9999645530580173,5.953675873462363e-07,3.485157439523954e-05,3.544694198258578e-05,3.514925818891266e-05,
Dubois-Prade,0.001500643683832338,0.39949977810539483,0.5989995782107734,0.001500643683832338,0.6005002218946057,0.30100043278921906,
PCR5,0.2250049201867358,0.7749950798132642,3.999972000123998e-23,0.2250049201867358,0.2250049201867358,0.2250049201867358,
