Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.6291663541672292,0.1354169166662917,0.23541672916647913,0.6291663541672292,0.8645830833337084,0.7468747187504687,
DST,0.9999999880486133,1.1848946533693494e-08,1.0244025329366908e-10,0.9999999880486133,0.9999999881510536,0.9999999880998335,
Yager,0.5971120448537709,0.06955462181289578,0.33333333333333337,0.5971120448537709,0.9304453781871043,0.7637787115204375,
Murphy,0.998855818019444,0.001113999103976281,3.0182876579376563e-05,0.998855818019444,0.9988860008960234,0.9988709094577337,
Dubois-Prade,0.5971120448537709,0.06955462181289578,0.33333333333333337,0.5971120448537709,0.9304453781871043,0.7637787115204375,
PCR5,0.901266941103767,0.09873305886623314,2.9999910000210006e-11,0.901266941103767,0.9012669411337669,0.901266941118767,
