Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.068750499999,0.8499990000020001,0.081250499999,0.068750499999,0.15000099999799998,0.1093757499985,
DST,8.279926037398315e-26,1.0000000000000013,3.712971317218975e-28,8.279926037398315e-26,8.317055750570504e-26,8.29849089398441e-26,
Yager,6.001127395628217e-09,0.9999989235011313,1.070497742354653e-06,6.001127395628217e-09,1.076498869750281e-06,5.412499985729547e-07,
Murphy,4.497738883130631e-07,0.9999995468681208,3.3579924997795794e-09,4.497738883130631e-07,4.531318808128427e-07,4.514528845629529e-07,
Dubois-Prade,6.001127395628217e-09,0.9999989235011313,1.070497742354653e-06,6.001127395628217e-09,1.076498869750281e-06,5.412499985729547e-07,
PCR5,1.9808653937850744e-10,0.9999999998019135,1.9999840000799985e-28,1.9808653937850744e-10,1.9808653937850744e-10,1.9808653937850744e-10,
