Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.156250499999,0.7624990000020001,0.081250499999,0.156250499999,0.237500999998,0.1968757499985,
DST,2.5596302843393283e-24,1.0000000000000036,2.450970588259811e-27,2.5596302843393283e-24,2.562081254927588e-24,2.5608557696334584e-24,
Yager,3.300155199402494e-08,0.9999987180011509,1.2489972980540494e-06,3.300155199402494e-08,1.2819988500480742e-06,6.575002010210497e-07,
Murphy,3.940185870271295e-05,0.9999605907472389,7.394060462713992e-09,3.940185870271295e-05,3.940925276317567e-05,3.940555573294431e-05,
Dubois-Prade,3.300155199402494e-08,0.9999987180011509,1.2489972980540494e-06,3.300155199402494e-08,1.2819988500480742e-06,6.575002010210497e-07,
PCR5,9.251749033673196e-06,0.9999907482509662,4.499964000179997e-28,9.251749033673196e-06,9.251749033673196e-06,9.251749033673196e-06,
