Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.012500749998625002,0.8312490062518688,0.15625024374950625,0.012500749998625002,0.16875099374813124,0.09062587187337813,
DST,1.7313305123406515e-26,1.000000000000001,4.155103878178672e-28,1.7313305123406515e-26,1.7728815511224384e-26,1.7521060317315448e-26,
Yager,5.999994037542993e-08,0.997498937002009,0.0025010029980517567,5.999994037542993e-08,0.002501062997992132,0.0012505614989662538,
Murphy,3.343473950887968e-07,0.9999992727623233,3.9289028239479357e-07,3.343473950887968e-07,7.272376774835904e-07,5.307925362861936e-07,
Dubois-Prade,5.999994037542993e-08,0.997498937002009,0.0025010029980517567,5.999994037542993e-08,0.002501062997992132,0.0012505614989662538,
PCR5,8.176383264778583e-06,0.9999918236167352,3.7499587502662464e-28,8.176383264778583e-06,8.176383264778583e-06,8.176383264778583e-06,
