Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.46874971250041253,0.4124997875003375,0.11875049999925,0.46874971250041253,0.5875002124996626,0.5281249625000375,
DST,0.7816085585886644,0.21839144562830604,2.514355081495127e-20,0.7816085585886644,0.7816085585886644,0.7816085585886644,
Yager,1.229622275418257e-06,0.5799492404013308,0.4200495299763943,1.229622275418257e-06,0.4200507595986697,0.21002599461047256,
Murphy,0.6910737525655684,0.3089243219280603,1.9255063691213376e-06,0.6910737525655684,0.6910756780719375,0.6910747153187529,
Dubois-Prade,1.229622275418257e-06,0.5799492404013308,0.4200495299763943,1.229622275418257e-06,0.4200507595986697,0.21002599461047256,
PCR5,0.2928892130222308,0.7071107869777692,2.624984250060373e-27,0.2928892130222308,0.2928892130222308,0.2928892130222308,
