Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.6687494062510938,0.23750021874953126,0.093750374999375,0.6687494062510938,0.7624997812504688,0.7156245937507812,
DST,0.9999999999997992,2.135077664475052e-13,1.1619423868396917e-21,0.9999999999997992,0.9999999999997992,0.9999999999997992,
Yager,0.45733493947511605,0.09002511570665368,0.45263994481823083,0.45733493947511605,0.9099748842933468,0.6836549118842314,
Murphy,0.9987329756893147,0.00126697215331052,5.2157375885904936e-08,0.9987329756893147,0.9987330278466906,0.9987330017680027,
Dubois-Prade,0.45733493947511605,0.09002511570665368,0.45263994481823083,0.45733493947511605,0.9099748842933468,0.6836549118842314,
PCR5,0.8040494503999712,0.1959505496000288,5.999970000101997e-23,0.8040494503999712,0.8040494503999712,0.8040494503999712,
