Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.49374984375028125,0.3624998687502563,0.14375028749946248,0.49374984375028125,0.6375001312497437,0.5656249875000124,
DST,0.9193548659614654,0.08064513679938466,2.3894688084815417e-15,0.9193548659614654,0.9193548659614679,0.9193548659614666,
Yager,0.932673617978044,6.064609497536291e-07,0.0673257755610066,0.932673617978044,0.9999993935390507,0.9663365057585473,
Murphy,0.8634425269273488,0.13655170190241844,5.771170237145551e-06,0.8634425269273488,0.8634482980975859,0.8634454125124674,
Dubois-Prade,0.932673617978044,6.064609497536291e-07,0.0673257755610066,0.932673617978044,0.9999993935390507,0.9663365057585473,
PCR5,0.9066435493576663,0.09335645064233367,1.9999860000599995e-22,0.9066435493576663,0.9066435493576663,0.9066435493576663,
