Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.275,0.5687496250007501,0.15625037499924999,0.275,0.43125037499925,0.353125187499625,
DST,8.465599252511425e-08,0.9999999163893181,3.9682456999701793e-16,8.465599252511425e-08,8.465599292193882e-08,8.465599272352653e-08,
Yager,8.291983591331859e-07,0.7951787743125053,0.20482039648913633,8.291983591331859e-07,0.20482122568749547,0.1024110274429273,
Murphy,0.015425925569559542,0.9845694918205353,4.582609908882867e-06,0.015425925569559542,0.015430508179468425,0.015428216874513984,
Dubois-Prade,8.291983591331859e-07,0.7951787743125053,0.20482039648913633,8.291983591331859e-07,0.20482122568749547,0.1024110274429273,
PCR5,0.05918381698971047,0.9408161830102895,1.7999892000431992e-22,0.05918381698971047,0.05918381698971047,0.05918381698971047,
