Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.08750049999912501,0.6812495375008376,0.2312499625000375,0.08750049999912501,0.3187504624991625,0.20312548124914376,
DST,2.1679717252522336e-14,0.9999999999999795,1.9531191406366782e-16,2.1679717252522336e-14,2.1875029166586003e-14,2.177737320955417e-14,
Yager,1.381009399569431e-07,0.9826886462819392,0.017311215617121373,1.381009399569431e-07,0.01731135371806133,0.008655745909500643,
Murphy,0.000204634366029998,0.9997783556695224,1.700996444907213e-05,0.000204634366029998,0.00022164433047907014,0.0002131393482545341,
Dubois-Prade,1.381009399569431e-07,0.9826886462819392,0.017311215617121373,1.381009399569431e-07,0.01731135371806133,0.008655745909500643,
PCR5,0.0003271954214991959,0.9996728045785007,8.999937000278996e-17,0.0003271954214991959,0.0003271954214992859,0.0003271954214992409,
