Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.6999996250008751,0.1875001499996,0.112500224999525,0.6999996250008751,0.8124998500004001,0.7562497375006376,
DST,0.9999999999999417,6.16422296834088e-14,8.573328189625702e-17,0.9999999999999417,0.9999999999999418,0.9999999999999417,
Yager,0.7411599407281663,0.044360039839888996,0.21448001943194522,0.7411599407281663,0.9556399601601115,0.8483999504441389,
Murphy,0.9996546669682324,0.0003451979829255668,1.350488433725338e-07,0.9996546669682324,0.9996548020170757,0.9996547344926541,
Dubois-Prade,0.7411599407281663,0.044360039839888996,0.21448001943194522,0.7411599407281663,0.9556399601601115,0.8483999504441389,
PCR5,0.9445978634138296,0.05540213658617034,7.999960000135995e-18,0.9445978634138296,0.9445978634138296,0.9445978634138296,
