Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.36874988750011256,0.5124996125007625,0.11875049999912501,0.36874988750011256,0.4875003874992376,0.42812513749967507,
DST,3.5293644457979975e-06,0.9999964817314373,5.809641143916655e-20,3.5293644457979975e-06,3.5293644457980555e-06,3.5293644457980267e-06,
Yager,4.435287638188415e-07,0.904673938377,0.09532561809423697,4.435287638188415e-07,0.09532606162300078,0.0476632525758823,
Murphy,0.11231585170063138,0.887682756007491,1.3922918841091906e-06,0.11231585170063138,0.11231724399251548,0.11231654784657344,
Dubois-Prade,4.435287638188415e-07,0.904673938377,0.09532561809423697,4.435287638188415e-07,0.09532606162300078,0.0476632525758823,
PCR5,0.046883810300640996,0.953116189699359,2.3999832000743986e-27,0.046883810300640996,0.046883810300640996,0.046883810300640996,
