Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.8124996500006,0.07500024999962501,0.112500099999775,0.8124996500006,0.924999750000375,0.8687497000004875,
DST,0.9999999999365803,6.266532238352759e-11,7.550000636566371e-13,0.9999999999365803,0.9999999999373352,0.9999999999369578,
Yager,0.8829337428050492,0.0094775534293003,0.10758870376565056,0.8829337428050492,0.9905224465706998,0.9367280946878745,
Murphy,0.9999971497528377,2.802374329644382e-06,4.7872832909372336e-08,0.9999971497528377,0.9999971976256706,0.9999971736892541,
Dubois-Prade,0.8829337428050492,0.0094775534293003,0.10758870376565056,0.8829337428050492,0.9905224465706998,0.9367280946878745,
PCR5,0.9895846471922423,0.01041535280735776,3.9999880000280004e-13,0.9895846471922423,0.9895846471926423,0.9895846471924422,
