Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.14375037499925003,0.59999962500075,0.25625,0.14375037499925003,0.40000037499925,0.27187537499925,
DST,9.848130148930066e-14,0.9999999999999013,5.897077989125174e-16,9.848130148930066e-14,9.907100928821317e-14,9.877615538875692e-14,
Yager,3.7234940657585946e-07,0.9427612370400723,0.05723839061052159,3.7234940657585946e-07,0.05723876295992817,0.02861956765466737,
Murphy,0.0021990029057780925,0.9977367946190296,6.420247519256888e-05,0.0021990029057780925,0.0022632053809706616,0.002231104143374377,
Dubois-Prade,3.7234940657585946e-07,0.9427612370400723,0.05723839061052159,3.7234940657585946e-07,0.05723876295992817,0.02861956765466737,
PCR5,0.004208695228146455,0.9957913047718534,1.4999910000359995e-16,0.004208695228146455,0.004208695228146605,0.00420869522814653,
