Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.250000499999125,0.4687495312508438,0.2812499687500312,0.250000499999125,0.5312504687491562,0.3906254843741406,
DST,5.748582982795244e-12,0.9999999999942432,1.1428537142860051e-14,5.748582982795244e-12,5.7600115199381045e-12,5.754297251366674e-12,
Yager,7.176249419736136e-07,0.8741228744044173,0.12587640797064079,7.176249419736136e-07,0.12587712559558276,0.06293892161026236,
Murphy,0.05925056738042953,0.9403815357968993,0.0003678968226724842,0.05925056738042953,0.05961846420310202,0.05943451579176577,
Dubois-Prade,7.176249419736136e-07,0.8741228744044173,0.12587640797064079,7.176249419736136e-07,0.12587712559558276,0.06293892161026236,
PCR5,0.07599612310486392,0.9240038768951354,5.999958000185997e-16,0.07599612310486392,0.07599612310486452,0.07599612310486423,
