Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.2437502624994875,0.568749525000975,0.18750021249953752,0.2437502624994875,0.431250474999025,0.33750036874925626,
DST,2.1288034631275606e-12,0.9999999999978737,4.514937002309425e-15,2.1288034631275606e-12,2.13331840012987e-12,2.1310609316287154e-12,
Yager,6.962010783766599e-07,0.8454225021494575,0.15457680164946455,6.962010783766599e-07,0.15457749785054292,0.07728909702581065,
Murphy,0.011044262472828815,0.9889416164094593,1.4121117709764974e-05,0.011044262472828815,0.01105838359053858,0.011051323031683697,
Dubois-Prade,6.962010783766599e-07,0.8454225021494575,0.15457680164946455,6.962010783766599e-07,0.15457749785054292,0.07728909702581065,
PCR5,0.03721681513516364,0.962783184864836,1.2799923200294394e-16,0.03721681513516364,0.03721681513516376,0.0372168151351637,
