Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.18125014374960627,0.662499625000875,0.15625023124951873,0.18125014374960627,0.337500374999125,0.2593752593743656,
DST,9.758926239300818e-14,0.9999999999999064,2.5799570005005587e-16,9.758926239300818e-14,9.784725809305823e-14,9.771826024303321e-14,
Yager,1.2944803895574445e-07,0.9835401608389236,0.0164597097130379,1.2944803895574445e-07,0.016459839161076854,0.008229984304557906,
Murphy,0.0008311999927152351,0.9991670421066595,1.757900624738457e-06,0.0008311999927152351,0.0008329578933399736,0.0008320789430276043,
Dubois-Prade,1.2944803895574445e-07,0.9835401608389236,0.0164597097130379,1.2944803895574445e-07,0.016459839161076854,0.008229984304557906,
PCR5,0.00022161768528226612,0.9997783823147178,2.0249898750344247e-17,0.00022161768528226612,0.00022161768528228636,0.00022161768528227625,
