Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.512499900000225,0.36874990000022506,0.11875019999954999,0.512499900000225,0.631250099999775,0.571875,
DST,0.8944099399136219,0.10559006220483685,1.65630476601359e-10,0.8944099399136219,0.8944099400792525,0.8944099399964371,
Yager,1.5417469854411454e-06,0.35808333509922463,0.6419151231537904,1.5417469854411454e-06,0.6419166649007758,0.32095910332388067,
Murphy,0.8876832106034837,0.11231539713184353,1.392264679079172e-06,0.8876832106034837,0.8876846028681628,0.8876839067358232,
Dubois-Prade,1.5417469854411454e-06,0.35808333509922463,0.6419151231537904,1.5417469854411454e-06,0.6419166649007758,0.32095910332388067,
PCR5,0.3533592411664878,0.646640758833512,1.1999928000276e-17,0.3533592411664878,0.3533592411664878,0.3533592411664878,
