Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.6124997312501438,0.1312503124995625,0.25624995625029373,0.6124997312501438,0.8687496875004375,0.7406247093752907,
DST,0.9996013206926522,0.00039867930734761685,1.1074192644233842e-15,0.9996013206926522,0.9996013206926533,0.9996013206926527,
Yager,0.8986707377885519,0.012378098828293794,0.08895116338315448,0.8986707377885519,0.9876219011717063,0.9431463194801292,
Murphy,0.9984355427799985,0.001507243784478228,5.721343552379865e-05,0.9984355427799985,0.9984927562155222,0.9984641494977604,
Dubois-Prade,0.8986707377885519,0.012378098828293794,0.08895116338315448,0.8986707377885519,0.9876219011717063,0.9431463194801292,
PCR5,0.9882470939426771,0.011752906057322612,3.3749797500742484e-16,0.9882470939426771,0.9882470939426774,0.9882470939426773,
