Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.08125056249906251,0.6062497312502688,0.3124997062506687,0.08125056249906251,0.3937502687497312,0.23750041562439686,
DST,7.017698825804431e-10,0.9999999992982305,1.7543771917793573e-16,7.017698825804431e-10,7.017700580181623e-10,7.017699702993027e-10,
Yager,2.4563743308708094e-08,0.9980863964005744,0.0019135790356824393,2.4563743308708094e-08,0.001913603599425748,0.0009568140815845284,
Murphy,0.0009580555077680055,0.9988629647244345,0.0001789797677977028,0.0009580555077680055,0.0011370352755657083,0.001047545391666857,
Dubois-Prade,2.4563743308708094e-08,0.9980863964005744,0.0019135790356824393,2.4563743308708094e-08,0.001913603599425748,0.0009568140815845284,
PCR5,1.7127782767245127e-05,0.9999828722172327,7.499932500359998e-17,1.7127782767245127e-05,1.7127782767320126e-05,1.7127782767282627e-05,
