Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.1062503499994,0.6062495250009751,0.28750012499962496,0.1062503499994,0.39375047499902494,0.25000041249921245,
DST,5.505440545059725e-14,0.9999999999999438,1.3366706767010955e-15,5.505440545059725e-14,5.639107612729835e-14,5.57227407889478e-14,
Yager,1.6732002299931268e-07,0.9756428545700783,0.024356978109898866,1.6732002299931268e-07,0.024357145429921866,0.012178656374972433,
Murphy,0.0013028431619339798,0.9985826553743672,0.00011450146369898918,0.0013028431619339798,0.0014173446256329691,0.0013600938937834745,
Dubois-Prade,1.6732002299931268e-07,0.9756428545700783,0.024356978109898866,1.6732002299931268e-07,0.024357145429921866,0.012178656374972433,
PCR5,0.0005075243717145088,0.999492475628285,5.119969280117759e-16,0.0005075243717145088,0.0005075243717150207,0.0005075243717147647,
