Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.21041686666621667,0.6416660916677417,0.14791704166604167,0.21041686666621667,0.3583339083322583,0.2843753874992375,
DST,2.4581589565609167e-13,0.9999999999997569,4.115211248321814e-21,2.4581589565609167e-13,2.458158997713029e-13,2.458158977136973e-13,
Yager,0.11750008119981847,0.5491665854668484,0.3333333333333334,0.11750008119981847,0.4508334145331519,0.2841667478664852,
Murphy,0.001794626089591776,0.9982038597122923,1.5141981172443441e-06,0.001794626089591776,0.0017961402877090203,0.001795383188650398,
Dubois-Prade,0.11750008119981847,0.5491665854668484,0.3333333333333334,0.11750008119981847,0.4508334145331519,0.2841667478664852,
PCR5,0.12912380119780098,0.8708761988021991,4.999975000084996e-22,0.12912380119780098,0.12912380119780098,0.12912380119780098,
