Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.23125006249981248,0.5812496875005625,0.18750024999962503,0.23125006249981248,0.4187503124994375,0.325000187499625,
DST,2.996595105712449e-08,0.999999970034049,5.733270095408437e-16,2.996595105712449e-08,2.99659516304515e-08,2.9965951343787995e-08,
Yager,2.44756073500665e-07,0.9665057305469764,0.03349402469695025,2.44756073500665e-07,0.03349426945302375,0.016747257104548628,
Murphy,0.007679098993669922,0.992308473436845,1.2427569485488067e-05,0.007679098993669922,0.00769152656315541,0.0076853127784126665,
Dubois-Prade,2.44756073500665e-07,0.9665057305469764,0.03349402469695025,2.44756073500665e-07,0.03349426945302375,0.016747257104548628,
PCR5,0.004490903922791695,0.9955090960772084,5.624983125039375e-17,0.004490903922791695,0.004490903922791751,0.0044909039227917225,
