Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.17916690416630415,0.3916668166663917,0.42916627916730415,0.17916690416630415,0.6083331833336083,0.39375004374995626,
DST,0.026237593955128882,0.9729509390862645,0.0008114669586062446,0.026237593955128882,0.027049060913735126,0.026643327434432006,
Yager,0.13254671672126359,0.534119949945403,0.33333333333333337,0.13254671672126359,0.465880050054597,0.29921338338793024,
Murphy,0.07870324075172982,0.9161519959303428,0.005144763317927483,0.07870324075172982,0.08384800406965731,0.08127562241069357,
Dubois-Prade,0.13254671672126359,0.534119949945403,0.33333333333333337,0.13254671672126359,0.465880050054597,0.29921338338793024,
PCR5,0.14968475291996686,0.8501712476560316,0.000143999424001584,0.14968475291996686,0.14982875234396845,0.14975675263196764,
