Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.7937491500016001,0.08125034999927501,0.125000499999125,0.7937491500016001,0.9187496500007251,0.8562494000011626,
DST,1.0000000000000016,2.9239786031637936e-20,1.9797674144351657e-27,1.0000000000000016,1.0000000000000016,1.0000000000000016,
Yager,0.9857488535972374,1.7109972206061517e-07,0.014250975303041674,0.9857488535972374,0.999999828900279,0.9928743412487583,
Murphy,0.9999935496135774,6.332974079743415e-06,1.1741234387987234e-07,0.9999935496135774,0.9999936670259213,0.9999936083197494,
Dubois-Prade,0.9857488535972374,1.7109972206061517e-07,0.014250975303041674,0.9857488535972374,0.999999828900279,0.9928743412487583,
PCR5,0.9998163775194969,0.00018362248050300816,9.749931750302242e-28,0.9998163775194969,0.9998163775194969,0.9998163775194969,
