Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.14375037499925,0.7687492500015,0.08750037499925001,0.14375037499925,0.2312507499985,0.187500562498875,
DST,1.3837407047408153e-19,1.0000000000000022,2.436639863562382e-22,1.3837407047408153e-19,1.3861773446043778e-19,1.3849590246725964e-19,
Yager,1.0334991884500718e-07,0.9888489056371186,0.011150991012963594,1.0334991884500718e-07,0.01115109436288244,0.005575598856400642,
Murphy,2.829223432829677e-05,0.9999716958734256,1.1892245675663793e-08,2.829223432829677e-05,2.8304126573972432e-05,2.82981804511346e-05,
Dubois-Prade,1.0334991884500718e-07,0.9888489056371186,0.011150991012963594,1.0334991884500718e-07,0.01115109436288244,0.005575598856400642,
PCR5,5.1937388785573737e-05,0.9999480626112144,4.4999730001079973e-23,5.1937388785573737e-05,5.1937388785573737e-05,5.1937388785573737e-05,
