Method,fused m(e),fused m(not e),fused m(50-50),Bel (e),Pl (e),BetP,Error
Simple Average,0.206250224999525,0.437500000000125,0.35624977500035004,0.206250224999525,0.562499999999875,0.3843751124997,
DST,2.9899615336861083e-07,0.9999996990748411,1.929005499637116e-09,2.9899615336861083e-07,3.0092515886824794e-07,2.999606561184294e-07,
Yager,6.768610126656597e-07,0.8115364412896253,0.18846288184936222,6.768610126656597e-07,0.18846355871037487,0.09423211778569378,
Murphy,0.058346198383618646,0.9401033467362769,0.0015504548801062285,0.058346198383618646,0.059896653263724876,0.05912142582367176,
Dubois-Prade,6.768610126656597e-07,0.8115364412896253,0.18846288184936222,6.768610126656597e-07,0.18846355871037487,0.09423211778569378,
PCR5,0.04955416338949947,0.9504458363605017,2.4999875000425e-10,0.04955416338949947,0.049554163639498224,0.049554163514498845,
